Boron Nitride 2D tight-binding (Wannier format)
           2
           5
    1    1    1    1    1
    0    0    0    1    1    1.000000    0.000000
    0    0    0    2    1   -2.700000    0.000000
    0    0    0    1    2   -2.700000    0.000000
    0    0    0    2    2   -1.000000    0.000000
   -1    0    0    1    1    0.000000    0.000000
   -1    0    0    2    1    0.000000    0.000000
   -1    0    0    1    2   -2.700000    0.000000
   -1    0    0    2    2    0.000000    0.000000
    1    0    0    1    1    0.000000    0.000000
    1    0    0    2    1   -2.700000    0.000000
    1    0    0    1    2    0.000000    0.000000
    1    0    0    2    2    0.000000    0.000000
    0   -1    0    1    1    0.000000    0.000000
    0   -1    0    2    1    0.000000    0.000000
    0   -1    0    1    2   -2.700000    0.000000
    0   -1    0    2    2    0.000000    0.000000
    0    1    0    1    1    0.000000    0.000000
    0    1    0    2    1   -2.700000    0.000000
    0    1    0    1    2    0.000000    0.000000
    0    1    0    2    2    0.000000    0.000000
